,date,username,geo,text,likes,retweets,hashtags
0,2019-09-04 09:25:35+00:00,gmanews_sports,,We’re going to overtime! #FIBAWC #LabanPilipinaspic.twitter.com/S39oc2oqqD,50,10,#FIBAWC #LabanPilipinaspic
0,2019-09-04 09:15:14+00:00,gmanews_sports,,Halftime Stat sheet for Ateneo vs Adamson | via @jk_carandangpic.twitter.com/6hi8VeHryN,3,0,
0,2019-09-04 09:01:09+00:00,gmanews_sports,,"UP notches first win, Javi GDL lists 22http://bit.ly/2k3CFBK",52,9,
0,2019-09-04 07:09:27+00:00,gmanews_sports,,UAAP: Abando leads UST for the win to open UAAP Season 82http://bit.ly/2kh4rLc,3,0,
0,2019-09-04 07:04:55+00:00,gmanews_sports,,"JUST IN: UP Fighting Maroons open their campaign with a win over FEU Tamaraws, 61-55. | Photos: UAAP @jk_carandangpic.twitter.com/4t9aE4NUkZ",9,0,
0,2019-09-04 03:08:12+00:00,gmanews_sports,,CJ Perez answers questions from the press (Part 2) | @marspanaligan On playing against NBA players and thoughts going into the game against Angola this afternoon #FIBAWC #LabanPilipinas @gmanewspic.twitter.com/5EgO6aS0Wm,11,3,#FIBAWC #LabanPilipinas
0,2019-09-04 03:00:36+00:00,gmanews_sports,,"CJ Perez answers questions from the press (Part 1) | @marspanaligan On being Gilas’ consistent “silver lining”, on praises he received from fans #FIBAWC #LabanPilipinas @gmanewspic.twitter.com/QLijUlwsHR",15,2,#FIBAWC #LabanPilipinas
0,2019-09-04 02:54:59+00:00,gmanews_sports,,Junemar Fajardo answers questions from the press (Part 2) | @marspanaligan On playing against Boban Marjanovic and how playing against bigger men will help improve his game. #FIBAWC #LabanPilipinas @gmanewspic.twitter.com/xEVRk7kn8u,6,2,#FIBAWC #LabanPilipinas
0,2019-09-04 02:52:50+00:00,gmanews_sports,,Filipino pole vaulter Ernest John Obiena has become the first Filipino to qualify for the 2020 Tokyo Summer Olympic Games.http://bit.ly/2keiukF,6,1,
0,2019-09-04 02:50:12+00:00,gmanews_sports,,"Junemar Fajardo answers questions from the press (Part 1) | @marspanaligan On playing against Jokic, on the mood of the team after their loss against Serbia, and what they will need to do for their game vs Angola later. #FIBAWC #LabanPilipinas @gmanewspic.twitter.com/M7OPoejXV7",5,4,#FIBAWC #LabanPilipinas
0,2019-09-04 02:33:23+00:00,gmanews_sports,,CJ Perez is not aware of Filipino fans back home singing him praises after his brilliant performances against Italy and Serbia at the FIBA World Cup.http://bit.ly/2lRgoHF,7,0,
0,2019-09-04 02:25:39+00:00,gmanews_sports,,The first Filipino to qualify for the #Tokyo2020 olympics is Ernest John Obiena!https://twitter.com/psc_gov/status/1169067904689569792 …,232,45,#Tokyo2020
0,2019-09-04 02:04:28+00:00,gmanews_sports,,‘Ruthless’ Serena Williams grabs 100th US Open win as record title nearshttp://bit.ly/2krn1jG,1,0,
0,2019-09-04 01:07:12+00:00,gmanews_sports,,"After two bad losses against Serbia and Italy, Gilas Pilipinas wants to make it up to their fans with a victory against Angola at the FIBA World Cup.http://bit.ly/2luiAVB",10,1,
